"case","status","detail","warnings"
"#665 first Total explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 first NULL explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 first NULL explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 first NA explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 first NA explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 last Total explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 last Total explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 last NULL explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 last NULL explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#665 last NA explicit= FALSE","PASS","empty .id integer in collect/n=0/compute",""
"#665 last NA explicit= TRUE","PASS","empty .id integer in collect/n=0/compute",""
"#666 first Total sum missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first Total sum zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first Total mean missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first Total mean zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NULL sum missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NULL sum zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NULL mean missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NULL mean zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NA sum missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NA sum zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NA mean missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 first NA mean zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last Total sum missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last Total sum zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last Total mean missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last Total mean zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NULL sum missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NULL sum zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NULL mean missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NULL mean zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NA sum missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NA sum zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NA mean missing","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"#666 last NA mean zero","PASS","Parent/Total/across declarations preserved over 0/1/2/3/4/Inf",""
"source overwrite atomic refusal (unsorted dedicated)","PASS","self overwrite refuses atomically; source unchanged",""
